tmdb_id,title,release_year,release_date,genres,character,budget_usd,revenue_usd,runtime_min,vote_average,vote_count,popularity,era
1484149,"Kanye West Album Listening, May 31, 2018 - Jackson Hole, Wyoming",2018.0,2018-05-31,Music,Self - Announcer,,,52,0.0,0,0.2627,before_2022
465109,The Week Of,2018.0,2018-04-27,Comedy,Kirby Cordice,,,116,5.468,846,1.3926,before_2022
528888,Dolemite Is My Name,2019.0,2019-10-04,"Drama, Comedy, History",Bobby Vale,,,118,6.992,1266,2.1169,before_2022
531219,Roald Dahl's The Witches,2020.0,2020-10-26,"Comedy, Fantasy, Family, Horror",Older Hero (voice),,29303571,104,6.335,2978,6.892,before_2022
692508,This Is Stand-Up,2020.0,2020-04-12,Documentary,Self,,,81,5.0,2,0.7724,before_2022
702942,Feeding America Comedy Festival,2020.0,2020-05-10,Comedy,Self,,,120,5.8,5,0.6708,before_2022
776527,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",2021.0,2021-07-02,"Music, Documentary, History",Self - Artist,,3696069,117,7.642,219,1.1637,before_2022
821968,The One and Only Dick Gregory,2021.0,2021-06-19,Documentary,Self,,,113,7.8,4,0.5142,before_2022
1410325,Stoner Cats,2021.0,2021-07-29,"Comedy, Animation",Hamilton,,,40,0.0,0,0.5354,before_2022
835932,Everybody Loves Chris Rock,2021.0,2021-03-01,Documentary,self,,,46,0.0,0,0.2244,before_2022
903976,2021 Rock & Roll Hall of Fame Induction Ceremony,2021.0,2021-11-20,"Music, Documentary",Self,,,196,4.0,2,0.6706,before_2022
1252539,Chris Rock Total Blackout: The Tamborine Extended Cut,2021.0,2021-01-12,"Comedy, TV Movie, Documentary",Self,,,98,6.333,9,0.3786,before_2022
602734,Spiral: From the Book of Saw,2021.0,2021-05-12,"Horror, Mystery",Detective Zeke Banks,20000000,40618920,93,5.902,2267,6.2816,before_2022
664469,Amsterdam,2022.0,2022-09-27,"Mystery, Comedy, Drama",Milton King,80000000,31245810,134,6.069,1816,4.6552,2022_or_after
1013901,Taylor Hawkins Tribute Concert,2022.0,2022-09-03,Music,Self,,,353,7.9,10,0.4426,2022_or_after
1005356,Look at Me,2022.0,2022-08-31,"Drama, Music",Adam,,,16,4.5,2,0.4208,2022_or_after
981116,Chris Rock: One Man Show,2022.0,2022-05-24,Documentary,Self,,,46,0.0,0,0.1506,2022_or_after
985305,Dirty Daddy: The Bob Saget Tribute,2022.0,2022-06-10,"Comedy, Documentary",Self,,,83,4.895,19,1.3749,2022_or_after
1065890,Chris Rock: Selective Outrage,2023.0,2023-03-04,Comedy,Self,,,69,6.147,156,1.683,2022_or_after
898713,Rustin,2023.0,2023-11-03,"Drama, History",Roy Wilkins,,,108,6.55,210,1.2392,2022_or_after
1184849,Albert Brooks: Defending My Life,2023.0,2023-11-12,Documentary,Self,,,88,7.1,23,0.8399,2022_or_after
1193125,Kevin Hart & Chris Rock: Headliners Only,2023.0,2023-12-12,"Documentary, Comedy",Self,,,83,6.313,16,0.4672,2022_or_after
1095351,Chris Rock: Road To Live Special,2023.0,2023-03-04,Documentary,Self,,,9,0.0,0,0.4187,2022_or_after
893723,PAW Patrol: The Mighty Movie,2023.0,2023-09-21,"Adventure, Animation, Comedy, Family, Sci-Fi",Kitty (voice),30000000,202231360,88,6.982,542,8.7093,2022_or_after
956057,The Trainer,2024.0,2024-10-20,Comedy,Chris Rock,,,95,6.8,4,1.1846,2022_or_after
1381066,In Whose Name?,2025.0,2025-09-19,"Documentary, Music",Self,,,106,7.3,7,0.7009,2022_or_after
1426518,Being Eddie,2025.0,2025-11-11,Documentary,Self,,,103,6.988,42,2.4605,2022_or_after
1634949,Lorne,2026.0,2026-04-17,Documentary,Self,,435275,101,5.7,3,3.9175,2022_or_after
1677574,The 51st AFI Life Achievement Award: A Tribute to Eddie Murphy,2026.0,2026-05-31,Documentary,Self,,,0,0.0,0,0.4709,2022_or_after
1381221,Misty Green,,,,,,,0,0.0,0,0.6252,before_2022
1669838,99 Nights in the Forest,,,Horror,Sketchy Salesman,,,0,0.0,0,1.5857,before_2022
